"NumLic","CodUG","Instituicao","ModComp","Processo","Objeto","Situacao","CodOrgao","NomeOrgao","Municipio","DataCompra","DataLicitacao","Valor","Mes","Ano"
12015,154051,"UNIVERSIDADE FEDERAL DE VICOSA","INEXIGIBILIDADE DE LICITACAO","0311/2015","OBJETO: FORNECIMENTO DE REFEICOES","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-12,NA,3960684,"janeiro",2015
62014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","CONCORRENCIA","018527/2014","OBJETO: CONTRATACAO DE EMPRESA PARA EXECUCAO DE SERVICOS COM FORNECIMENTO TOTAL DE MATERIAIS, SOB O REGIME DE EMPREITADA POR PRECO UNITARIO, NECESSARIOS A EXECUCAO DE OBRA DE COBERTURA, FECHAMENTO, RAMPAS, PASSEIOS, CORRIMAO E OUTROS DO DEPARTAMENTO DE EDUCACAO FISICA ? CAMPUS VICOSA, SITUADA NA UNIVERSIDADE FEDERAL DE VICOSA, MINAS GERAIS","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-07,NA,2954345.27,"janeiro",2015
632014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","INEXIGIBILIDADE DE LICITACAO","18465/2014","OBJETO: SERVICO DE LICENCA PELO USO DE SOFTWARE.","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-13,NA,12349.7,"janeiro",2015
4962014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO - REGISTRO DE PRECO","015022/2014","OBJETO: PREGAO ELETRONICO -  SOFTWARE, EQUIPAMENTO WIRELESS - CONTROLADORA, PONTO DE ACESSO E OUTROS.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-02,2014-11-25,136000,"janeiro",2015
5502014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","016314/2014","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE COMBUSTIVEL - OLEO DIESEL","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-30,2015-01-06,75585,"janeiro",2015
5512014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","016316/2014","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE OLEO DIESEL E GASOLINA COMUM","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-13,2015-01-06,173370,"janeiro",2015
5842014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","17040/2014","OBJETO: PREGAO ELETRONICO -  REAGENTES, VIDRARIAS DE LABORATORIOS E OUTROS.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-30,2014-12-04,74694.98,"janeiro",2015
5922014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","017416/2014","OBJETO: PREGAO ELETRONICO -  TINTAS, MASSA CORRIDA, SOLVENTES, VERNIZ E OUTROS.","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-30,2014-11-04,112417.72,"janeiro",2015
5982014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","014038/2014","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE SEIXO ROLADO E AREIA QUARTZOSA, EM LOTE UNICO.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-16,2014-11-18,53714.29,"janeiro",2015
6032014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","017968/2014","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE LEGUMES, FRUTAS, OVOS (EM LOTES)","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-02,2014-12-12,1033616,"janeiro",2015
6062014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","17966/2014","OBJETO: PREGAO ELETRONICO -  VERDURAS IN NATURA","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-12,2015-01-06,272153.5,"janeiro",2015
6142014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","018583/2014","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE DESFIBRILADOR","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-19,2015-01-08,5140,"janeiro",2015
6162014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","018585/2014","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE MATERIAIS DE LIMPEZA E DE ESCRITORIO","EVENTO DE REVOGACAO PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-19,2015-01-09,18355.02,"janeiro",2015
6202014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","17962/2014","OBJETO: PREGAO ELETRONICO -  SOFTWARES.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-12,2014-12-17,733,"janeiro",2015
6232014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","019081/2014","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE COMBUSTIVEIS","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-07,2014-12-09,1232000,"janeiro",2015
6252014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","19248/2014","OBJETO: PREGAO ELETRONICO -  AGENCIAMENTO DE VIAGENS.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-07,2014-12-19,794509.71,"janeiro",2015
6292014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","019529/2014","OBJETO: PREGAO ELETRONICO -  AQUISICAO DE GAS LIQUEFEITO DE PETROLEO, TIPO GLP.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-15,2015-01-06,53167,"janeiro",2015
6302014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","014992A/2014","OBJETO: PREGAO ELETRONICO -  MANUTENCAO CORRETIVA PREVIA DE ELEVADORES.","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-07,2014-12-15,128531.66,"janeiro",2015
6332014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","19777/2014","OBJETO: PREGAO ELETRONICO -  FORNECIMENTO DE LANCHES E DECORACAO COM ARCOS DE BALOES.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-02,2014-12-17,7830,"janeiro",2015
6342014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","020164/2014","OBJETO: PREGAO ELETRONICO -  CONTRATACAO DE SERVICO NAO CONTINUADO DE FORNECIMENTO DE LANCHE.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-07,2014-12-23,7920,"janeiro",2015
6352014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","20190/2014","OBJETO: PREGAO ELETRONICO -  MANUTENCAO, HIGIENIZACAO (LAVAGEM), PASSADORIA, SEPARACAO E EMPACOTAMENTO DE BECAS E DEMAIS ACESSORIOS (JABOUR E FAIXA)","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-02,2014-12-23,15600,"janeiro",2015
6382014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","20360/2014","OBJETO: PREGAO ELETRONICO -  CONTRATACAO DE EMPRESA ESPECIALIZADA PARA SERVICOS DE FORMATURA DA UFV.","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-05,2014-12-17,91197,"janeiro",2015
6392014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","019945/2014","OBJETO: PREGAO ELETRONICO -  CONTRATACAO DE SERVICOS PARA A FORMATURA FEVEREIRO/2015","EVENTO DE RESULTADO DE JULGAME",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-30,2015-01-07,70783,"janeiro",2015
6452014,154051,"UNIVERSIDADE FEDERAL DE VICOSA","PREGAO","20588/2014","OBJETO: PREGAO ELETRONICO -  CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE SEGURO DE ESTUDANTES DA UFV.","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-01-02,2014-12-22,192000,"janeiro",2015
22015,154051,"UNIVERSIDADE FEDERAL DE VICOSA","INEXIGIBILIDADE DE LICITACAO","000387/2015","OBJETO: CONTRATACAO DE PESSOA JURIDICA ESPECIALIZADA PARA A PRESTACAO DOS SERVICOS CONTINUADOS DE PUBLICACAO/DIVULGACAO DE MATERIA ESCRITA OU ELETRONICA NO DIARIO OFICIAL DA UNIAO.","PUBLICADO",26282,"UNIVERSIDADE FEDERAL DE VICOSA","VICOSA",2015-02-10,NA,715000,"fevereiro",2015
